event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ISR40073,"09 May 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)",,Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"Arutz Sheva; Haaretz; N12",National,"On 9 May 2024, hundreds demonstrated outside of IDF headquarters in Tel Aviv city, calling on the government to reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. Scuffles between demonstrators and police took place after police forces blocked demonstrators from marching. Demonstrators then tore down fences and blocked traffic at Kaplan intersection, where heated confrontations were documented between them and passing drivers.",0,"crowd size=hundreds",1719876469
ISR40072,"09 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains",Jerusalem,31.769,35.2163,1,"Arutz Sheva; N12",National,"On 9 May 2024, a protest took place outside of the home of head of the Shas party Aryeh Deri in Jerusalem (Judean Mountains), calling on the government to reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. Relatives of hostages took part in the protest.",0,"crowd size=no report",1722903299
ISR40054,"08 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Bedouin Ethnic Group (Israel)",Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaDarom,"Beer Sheva","Beer Sheva","Tel Sheva",31.2486,34.8601,2,"Haaretz; Times of Israel",National,"On 8 May 2024, hundreds of Bedouins protested against the destruction of homes in the unrecognized Bedouin village of Wadi Khalil, near Tel Sheva (Beer Sheva, HaDarom).",0,"crowd size=hundreds",1716240619
ISR40063,"08 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Women (Israel)",Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"13 News; Arutz Sheva; Calcalist; Haaretz; Times of Israel; Walla!News",National,"On 8 May 2024, dozens briefly blocked traffic, likely by standing or walking on the road, and protested on Ayalon Highway in Tel Aviv city, calling on the government to reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. Activists from women's rights groups led the protest. Relatives of hostages took part in the protest. Police forces nonviolently cleared the protesters and issued fines to 14 protesters for blocking traffic.",0,"crowd size=dozens",1719876469
ISR40064,"08 May 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)",,Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"Haaretz; Israel Hayom; Ynet",National,"On 8 May 2024, hundreds demonstrated near IDF headquarters in Tel Aviv city, calling on the government to reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. Dozens of the demonstrators clashed with police forces after they attempted to block traffic on Ayalon Highway. At least two demonstrators were injured in the clashes. Police forces detained at least two demonstrators. Relatives of hostages took part in the demonstration.",0,"crowd size=hundreds",1719876469
ISR40044,"07 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Sderot,31.525,34.5969,2,Haaretz,National,"On 7 May 2024, about 1,000 protested in southern Israel, calling on the government to reach a deal to secure the release of hostages being held in Gaza by Hamas. Relatives of hostages and residents of Gaza border communities took part in the protest. No location for the protest was specified. Coded to Sderot (Ashqelon, HaDarom).",0,"crowd size=about 1,000",1716240619
ISR40051,"07 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,Haaretz,National,"On 7 May 2024, dozens protested in Tel Aviv city, calling on the government to reach a deal to secure the release of hostages being held in Gaza by Hamas. Protesters blocked traffic, likely by standing or walking on the roads.",0,"crowd size=dozens",1719876469
ISR40045,"07 May 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Israel)","Tzav 9",Rioters,"Police Forces of Israel (2022-)",,"State forces","State forces-Rioters",,376,"Middle East",Israel,HaMerkaz,Ramla,Modiin,Modiin,31.8983,35.0105,2,"Haaretz; Kan News; N12; Now 14; Times of Israel; Ynet",National,"On 7 May 2024, about 250 right-wing Tzav 9 activists blocked humanitarian aid trucks and demonstrated on Highway 1 near Modiin (Ramla, HaMerkaz) against providing humanitarian aid to Gaza. Demonstrators punctured the tires of at least one truck, vandalized and spilled the contents other trucks, and scuffled with police forces. Police forces detained about six demonstrators.",0,"crowd size=about 250",1722291495
ISR40050,"07 May 2024",2024,1,Demonstrations,Protests,"Protest with intervention","Protesters (Israel)",,Protesters,"Police Forces of Israel (2022-)",,"State forces","State forces-Protesters",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains",Jerusalem,31.769,35.2163,1,"Haaretz; Times of Israel",National,"On 7 May 2024, about 200 marched and protested in Jerusalem (Judean Mountains), calling on the government to reach a deal that secures the immediate release of all hostages being held in Gaza by Hamas. Some of the protesters blocked traffic and the path of the light rail, likely by standing or walking on the roads. Police forces arrested one protester.",0,"crowd size=about 200",1722903299
ISR40023,"06 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaDarom,"Beer Sheva","Beer Sheva",Beersheba,31.2518,34.7913,1,"Beer Sheva Net; Haaretz; Jerusalem Post; Kan News",Subnational-National,"On 6 May 2024, a protest took place in Beersheba (Beer Sheva, HaDarom), calling on the government reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. Protesters blocked traffic, likely by standing or walking on the roads. The protest took place following Hamas' announcement that it accepted a ceasefire and hostage release proposal.",0,"crowd size=no report",1716240619
ISR40026,"06 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaDarom,Ashqelon,Ashqelon,Sderot,31.525,34.5969,1,Haaretz,National,"On 6 May 2024, a protest took place in Sderot (Ashqelon, HaDarom), calling on the government reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. The protest took place following Hamas' announcement that it accepted a ceasefire and hostage release proposal.",0,"crowd size=no report",1716240619
ISR40036,"06 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)","Tzav 9",Protesters,,,,"Protesters only",,376,"Middle East",Israel,Jerusalem,Jerusalem,"Judean Mountains","Mevasseret Ziyyon",31.8019,35.1507,2,"Kan News",National,"On 6 May 2024, Tzav 9 activists blocked humanitarian aid trucks and protested in the area of Mevasseret Ziyyon (Judean Mountains, Jerusalem) against providing humanitarian aid to Gaza. Protesters attempted to block humanitarian aid trucks driving from Jordan to Gaza.",0,"crowd size=no report",1716327789
ISR40033,"06 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaZafon,Zefat,"Hazor Region","Rosh Pinna",32.9689,35.5426,1,"Jerusalem Post",National,"On 6 May 2024, a protest took place in Rosh Pinna (Zefat, HaZafon), calling on the government reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. The protest took place following Hamas' announcement that it accepted a ceasefire and hostage release proposal.",0,"crowd size=no report",1716850486
ISR40030,"06 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,HaZafon,Akko,Karmiel,Karmiel,32.9171,35.305,1,"Jerusalem Post",National,"On 6 May 2024, a protest took place in Karmiel (Akko, HaZafon), calling on the government reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. The protest took place following Hamas' announcement that it accepted a ceasefire and hostage release proposal.",0,"crowd size=no report",1719274425
ISR40037,"06 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Israel)",,Protesters,,,,"Protesters only",,376,"Middle East",Israel,"Tel Aviv","Tel Aviv","Tel Aviv","Tel Aviv",32.0809,34.7806,1,"Haaretz; Times of Israel",National,"On 6 May 2024, hundreds protested outside of IDF headquarters in Tel Aviv city, calling on the government reach a deal to secure the immediate release of all hostages being held in Gaza by Hamas. Protesters blocked traffic on Begin Road, likely by standing or walking on the road. The protest took place following Hamas' announcement that it accepted a ceasefire and hostage release proposal.",0,"crowd size=hundreds",1719876469
